[["PAYANN","ESTAB","EMP","NAICS2012","OPTAX","state","county"],
["0","24","0","541110","A","46","013"],
["0","1","0","541110","A","46","045"],
["0","29","0","541110","A","53","027"],
["0","1","0","541110","A","48","059"],
["0","4","0","541110","A","48","253"],
["0","77","0","541110","A","48","441"],
["0","23","0","541110","A","40","123"],
["2255","28","57","541110","A","26","091"],
["0","36","0","541110","A","39","133"],
["0","265","0","541110","A","39","153"],
["1787","15","51","541110","A","35","035"],
["0","80","0","541110","A","13","095"],
["579","3","11","541110","A","13","177"],
["0","2","0","541110","A","13","273"],
["0","1","0","541110","A","13","321"],
["0","33","0","541110","A","41","043"],
["0","301","0","541110","A","36","001"],
["0","49","0","541110","A","36","083"],
["0","108","0","541110","A","36","091"],
["0","60","0","541110","A","36","093"],
["0","9","0","541110","A","36","095"],
["2152","18","52","541110","A","37","167"],
["0","5","0","541110","A","27","047"],
["3951","34","107","541110","A","01","095"],
["0","623","0","541110","A","35","001"],
["0","17","0","541110","A","35","043"],
["0","1","0","541110","A","35","057"],
["0","19","0","541110","A","35","061"],
["0","2","0","541110","A","22","043"],
["0","110","0","541110","A","22","079"],
["0","18","0","541110","A","27","041"],
["0","17","0","541110","A","48","249"],
["0","53","0","541110","A","34","041"],
["2920","28","81","541110","A","42","025"],
["0","145","0","541110","A","42","077"],
["30037","140","476","541110","A","42","095"],
["644","9","20","541110","A","26","057"],
["0","12","0","541110","A","26","007"],
["0","59","0","541110","A","42","013"],
["0","11","0","541110","A","40","065"],
["0","2","0","541110","A","48","065"],
["0","98","0","541110","A","48","375"],
["0","20","0","541110","A","48","381"],
["0","1","0","541110","A","13","249"],
["0","4","0","541110","A","13","261"],
["0","27","0","541110","A","19","169"],
["0","25","0","541110","A","36","057"],
["106473","276","1221","541110","A","02","020"],
["2017","16","36","541110","A","02","170"],
["0","4","0","541110","A","48","003"],
["1159","17","54","541110","A","18","151"],
["66872","179","827","541110","A","26","161"],
["0","51","0","541110","A","01","015"],
["1733","6","28","541110","A","55","015"],
["20849","72","379","541110","A","55","087"],
["865","9","29","541110","A","12","027"],
["0","36","0","541110","A","40","019"],
["3267","9","75","541110","A","05","019"],
["1140","15","43","541110","A","20","035"],
["57798","163","844","541110","A","37","021"],
["2785","32","80","541110","A","37","087"],
["5401","32","119","541110","A","37","089"],
["396","5","13","541110","A","37","115"],
["887","15","34","541110","A","39","005"],
["0","29","0","541110","A","39","007"],
["1624","20","48","541110","A","41","007"],
["0","8","0","541110","A","20","005"],
["0","23","0","541110","A","39","009"],
["0","13","0","541110","A","47","107"],
["2297","15","56","541110","A","48","213"],
["0","70","0","541110","A","13","059"],
["436","4","12","541110","A","13","195"],
["0","26","0","541110","A","13","219"],
["239","4","4","541110","A","13","221"],
["1595","11","38","541110","A","13","013"],
["4934","36","101","541110","A","13","015"],
["516","5","14","541110","A","13","035"],
["8704","40","183","541110","A","13","045"],
["11615","82","230","541110","A","13","057"],
["9419","51","184","541110","A","13","063"],
["0","476","0","541110","A","13","067"],
["8848","29","117","541110","A","13","077"],
["0","2","0","541110","A","13","085"],
["0","540","0","541110","A","13","089"],
["0","36","0","541110","A","13","097"],
["9473","60","184","541110","A","13","113"],
["9720","75","164","541110","A","13","117"],
["0","1383","0","541110","A","13","121"],
["0","363","0","541110","A","13","135"],
["497","6","20","541110","A","13","143"],
["0","1","0","541110","A","13","149"],
["11768","57","234","541110","A","13","151"],
["0","2","0","541110","A","13","159"],
["0","2","0","541110","A","13","171"],
["207","5","9","541110","A","13","199"],
["1518","13","25","541110","A","13","211"],
["0","23","0","541110","A","13","217"],
["2635","18","65","541110","A","13","223"],
["806","12","26","541110","A","13","227"],
["1048","8","28","541110","A","13","231"],
["6337","41","123","541110","A","13","247"],
["3416","21","77","541110","A","13","255"],
["3011","29","71","541110","A","13","297"],
["0","175","0","541110","A","34","001"],
["2600","17","70","541110","A","18","033"],
["5892","22","101","541110","A","36","011"],
["0","46","0","541110","A","01","081"],
["0","3","0","541110","A","13","033"],
["0","38","0","541110","A","13","073"],
["0","10","0","541110","A","13","189"],
["0","170","0","541110","A","13","245"],
["7052","49","151","541110","A","45","003"],
["95","5","6","541110","A","45","037"],
["15253","68","307","541110","A","23","011"],
["2407","12","57","541110","A","27","099"],
["1510","21","36","541110","A","48","021"],
["224","7","7","541110","A","48","055"],
["5677","44","164","541110","A","48","209"],
["601725","1058","6632","541110","A","48","453"],
["31282","109","426","541110","A","48","491"],
["0","10","0","541110","A","13","087"],
["0","197","0","541110","A","06","029"],
["0","237","0","541110","A","24","003"],
["0","573","0","541110","A","24","005"],
["6736","50","165","541110","A","24","013"],
["0","68","0","541110","A","24","025"],
["0","139","0","541110","A","24","027"],
["0","18","0","541110","A","24","035"],
["0","484","0","541110","A","24","510"],
["0","77","0","541110","A","23","019"],
["3075","19","77","541110","A","55","111"],
["1496","21","62","541110","A","21","179"],
["0","173","0","541110","A","25","001"],
["0","52","0","541110","A","50","023"],
["0","20","0","541110","A","40","147"],
["0","8","0","541110","A","22","067"],
["0","20","0","541110","A","36","037"],
["1148","21","38","541110","A","05","063"],
["4807","36","99","541110","A","22","005"],
["0","449","0","541110","A","22","033"],
["271","3","6","541110","A","22","037"],
["2746","17","54","541110","A","22","047"],
["3290","36","91","541110","A","22","063"],
["1008","11","21","541110","A","22","077"],
["0","4","0","541110","A","22","091"],
["371","9","13","541110","A","22","121"],
["0","7","0","541110","A","22","125"],
["0","46","0","541110","A","26","025"],
["7955","43","176","541110","A","26","017"],
["858","15","32","541110","A","48","321"],
["1177","10","31","541110","A","31","067"],
["385","9","13","541110","A","48","199"],
["79055","186","1027","541110","A","48","245"],
