[["PAYANN","ESTAB","EMP","NAICS2012","OPTAX","state","county"],
["0","79","0","81","A","46","013"],
["0","6","0","81","A","46","045"],
["0","104","0","81","A","53","027"],
["916","8","40","81","A","48","059"],
["1087","16","54","81","A","48","253"],
["40299","224","1763","81","A","48","441"],
["4490","46","194","81","A","40","123"],
["14064","146","758","81","A","26","091"],
["40806","227","1518","81","A","39","133"],
["202221","1084","7398","81","A","39","153"],
["6287","67","357","81","A","35","035"],
["0","2","0","81","A","13","007"],
["24465","152","994","81","A","13","095"],
["0","27","0","81","A","13","177"],
["0","14","0","81","A","13","273"],
["1797","27","64","81","A","13","321"],
["0","142","0","81","A","41","043"],
["220460","810","5994","81","A","36","001"],
["47976","244","1361","81","A","36","083"],
["45537","321","1668","81","A","36","091"],
["0","205","0","81","A","36","093"],
["0","31","0","81","A","36","095"],
["10197","81","390","81","A","37","167"],
["5238","66","369","81","A","27","047"],
["7356","84","370","81","A","01","095"],
["217155","1096","7326","81","A","35","001"],
["16144","109","583","81","A","35","043"],
["0","8","0","81","A","35","057"],
["0","63","0","81","A","35","061"],
["938","11","50","81","A","22","043"],
["27524","198","1018","81","A","22","079"],
["9494","109","464","81","A","27","041"],
["15801","69","381","81","A","48","249"],
["28954","222","1095","81","A","34","041"],
["6769","91","310","81","A","42","025"],
["127030","719","4730","81","A","42","077"],
["71837","547","2875","81","A","42","095"],
["6390","46","223","81","A","26","057"],
["5327","65","258","81","A","26","007"],
["36670","283","1573","81","A","42","013"],
["2677","34","151","81","A","40","065"],
["0","2","0","81","A","48","011"],
["0","8","0","81","A","48","065"],
["0","2","0","81","A","48","359"],
["60907","237","1916","81","A","48","375"],
["0","162","0","81","A","48","381"],
["0","5","0","81","A","13","249"],
["0","45","0","81","A","13","261"],
["27484","146","1000","81","A","19","169"],
["15397","87","558","81","A","36","057"],
["135992","580","3863","81","A","02","020"],
["16740","123","572","81","A","02","170"],
["0","23","0","81","A","48","003"],
["12305","76","424","81","A","18","151"],
["143236","537","3891","81","A","26","161"],
["23311","177","785","81","A","01","015"],
["5097","58","261","81","A","55","015"],
["73744","361","2827","81","A","55","087"],
["1471","25","78","81","A","12","027"],
["46412","93","974","81","A","40","019"],
["2353","27","92","81","A","05","019"],
["4995","53","208","81","A","20","035"],
["69805","456","2461","81","A","37","021"],
["10760","96","417","81","A","37","087"],
["24702","174","860","81","A","37","089"],
["921","11","38","81","A","37","115"],
["14719","91","563","81","A","39","005"],
["10891","158","646","81","A","39","007"],
["0","91","0","81","A","41","007"],
["0","20","0","81","A","20","005"],
["7465","80","417","81","A","39","009"],
["4993","48","219","81","A","47","107"],
