[["PAYANN","ESTAB","EMP","NAICS2012","OPTAX","state","county"],
["116070","112","2867","62","A","46","013"],
["3849","11","197","62","A","46","045"],
["107123","202","2882","62","A","53","027"],
["2480","11","118","62","A","48","059"],
["15245","20","632","62","A","48","253"],
["403933","389","11883","62","A","48","441"],
["128516","130","3418","62","A","40","123"],
["112887","231","3168","62","A","26","091"],
["180993","267","5974","62","A","39","133"],
["1869011","1519","45181","62","A","39","153"],
["81372","101","2241","62","A","35","035"],
["0","3","0","62","A","13","007"],
["336076","306","8924","62","A","13","095"],
["10776","32","360","62","A","13","177"],
["0","15","0","62","A","13","273"],
["0","26","0","62","A","13","321"],
["174007","216","4660","62","A","41","043"],
["1396712","1017","33297","62","A","36","001"],
["349116","354","9708","62","A","36","083"],
["317919","544","8412","62","A","36","091"],
["439238","435","11854","62","A","36","093"],
["30731","62","1039","62","A","36","095"],
["98727","174","3190","62","A","37","167"],
["94617","71","2569","62","A","27","047"],
["124724","191","3727","62","A","01","095"],
["2143724","1893","48404","62","A","35","001"],
["107230","201","3058","62","A","35","043"],
["5084","21","273","62","A","35","057"],
["57723","90","2685","62","A","35","061"],
["5386","17","255","62","A","22","043"],
["554858","506","14112","62","A","22","079"],
["104972","129","3480","62","A","27","041"],
["96010","114","4355","62","A","48","249"],
["218257","295","4571","62","A","34","041"],
["97359","160","3302","62","A","42","025"],
["1715913","1170","40184","62","A","42","077"],
["467994","776","13343","62","A","42","095"],
["82398","104","2339","62","A","26","057"],
["47448","83","1724","62","A","26","007"],
["472447","438","11356","62","A","42","013"],
["47579","48","1389","62","A","40","065"],
["1553","4","93","62","A","48","011"],
["0","4","0","62","A","48","065"],
["0","2","0","62","A","48","359"],
["0","460","0","62","A","48","375"],
["0","235","0","62","A","48","381"],
["0","4","0","62","A","13","249"],
["0","80","0","62","A","13","261"],
["206029","192","4855","62","A","19","169"],
["149553","177","3970","62","A","36","057"],
["1347827","1165","25616","62","A","02","020"],
["161553","267","3621","62","A","02","170"],
["22769","26","475","62","A","48","003"],
["36259","84","1384","62","A","18","151"],
["2219207","964","36873","62","A","26","161"],
["220970","273","5785","62","A","01","015"],
["37319","79","1175","62","A","55","015"],
["521036","464","11090","62","A","55","087"],
["38264","44","1009","62","A","12","027"],
["121144","217","3790","62","A","40","019"],
["26367","59","934","62","A","05","019"],
["59123","118","2199","62","A","20","035"],
["1012722","844","20510","62","A","37","021"],
["128916","141","3047","62","A","37","087"],
["236256","292","6339","62","A","37","089"],
["16175","30","652","62","A","37","115"],
["71424","112","2220","62","A","39","005"],
["171869","217","5453","62","A","39","007"],
["89754","137","2163","62","A","41","007"],
["26720","46","799","62","A","20","005"],
["101634","144","3058","62","A","39","009"],
["62375","108","1805","62","A","47","107"],
["84344","126","2180","62","A","48","213"],
["446302","439","8443","62","A","13","059"],
["0","25","0","62","A","13","195"],
["56106","126","1525","62","A","13","219"],
["0","12","0","62","A","13","221"],
["44630","91","1292","62","A","13","013"],
["123898","177","2803","62","A","13","015"],
["14202","29","529","62","A","13","035"],
["238299","214","4784","62","A","13","045"],
["208760","447","5141","62","A","13","057"],
["306294","400","7024","62","A","13","063"],
["1393760","1803","28679","62","A","13","067"],
["152004","228","3415","62","A","13","077"],
["0","41","0","62","A","13","085"],
["1748334","1782","39802","62","A","13","089"],
["185685","266","4639","62","A","13","097"],
["256490","369","5006","62","A","13","113"],
["283799","463","6830","62","A","13","117"],
["3610661","3542","71584","62","A","13","121"],
["1067633","1834","25079","62","A","13","135"],
["24339","39","699","62","A","13","143"],
["0","5","0","62","A","13","149"],
["239136","396","6223","62","A","13","151"],
["0","14","0","62","A","13","159"],
["0","22","0","62","A","13","171"],
["29430","28","948","62","A","13","199"],
["13898","34","456","62","A","13","211"],
["77103","122","2039","62","A","13","217"],
["69109","143","2000","62","A","13","223"],
["48437","64","1186","62","A","13","227"],
["0","17","0","62","A","13","231"],
["138851","242","3648","62","A","13","247"],
["122870","132","4459","62","A","13","255"],
["57474","133","1554","62","A","13","297"],
["780377","846","17487","62","A","34","001"],
["53157","87","1613","62","A","18","033"],
["136833","198","4036","62","A","36","011"],
["218388","235","5923","62","A","01","081"],
["0","30","0","62","A","13","033"],
["102259","215","3078","62","A","13","073"],
["0","6","0","62","A","13","181"],
["24863","51","970","62","A","13","189"],
["1241313","645","24184","62","A","13","245"],
["199597","310","6330","62","A","45","003"],
["14118","20","526","62","A","45","037"],
