[["PAYANN","ESTAB","EMP","NAICS2012","OPTAX","state","county"],
["0","1","0","541513","A","46","013"],
["0","2","0","541513","A","53","027"],
["0","6","0","541513","A","48","441"],
["0","2","0","541513","A","26","091"],
["0","1","0","541513","A","39","133"],
["0","12","0","541513","A","39","153"],
["0","3","0","541513","A","35","035"],
["3052","5","54","541513","A","13","095"],
["66955","13","585","541513","A","36","001"],
["0","3","0","541513","A","36","083"],
["0","12","0","541513","A","36","091"],
["0","1","0","541513","A","36","093"],
["0","2","0","541513","A","01","095"],
["35845","27","687","541513","A","35","001"],
["0","2","0","541513","A","27","041"],
["0","2","0","541513","A","34","041"],
["0","7","0","541513","A","42","077"],
["0","10","0","541513","A","42","095"],
["0","1","0","541513","A","42","013"],
["0","2","0","541513","A","40","065"],
["0","5","0","541513","A","48","375"],
["0","1","0","541513","A","19","169"],
["0","17","0","541513","A","02","020"],
["0","4","0","541513","A","02","170"],
["0","1","0","541513","A","18","151"],
["8447","12","105","541513","A","26","161"],
["0","2","0","541513","A","01","015"],
["0","6","0","541513","A","55","087"],
["0","1","0","541513","A","40","019"],
["0","3","0","541513","A","37","021"],
["0","1","0","541513","A","37","089"],
["0","1","0","541513","A","41","007"],
["0","3","0","541513","A","13","059"],
["0","1","0","541513","A","13","219"],
["0","2","0","541513","A","13","013"],
["0","1","0","541513","A","13","015"],
["0","1","0","541513","A","13","045"],
["4428","10","48","541513","A","13","057"],
["0","3","0","541513","A","13","063"],
["0","43","0","541513","A","13","067"],
["0","3","0","541513","A","13","077"],
["28715","37","372","541513","A","13","089"],
["0","1","0","541513","A","13","097"],
["144","3","7","541513","A","13","113"],
["0","16","0","541513","A","13","117"],
["736578","75","9327","541513","A","13","121"],
["11450","33","172","541513","A","13","135"],
["0","2","0","541513","A","13","151"],
["0","1","0","541513","A","13","223"],
["0","1","0","541513","A","13","227"],
["0","2","0","541513","A","13","247"],
["0","6","0","541513","A","34","001"],
["0","1","0","541513","A","18","033"],
["0","2","0","541513","A","01","081"],
["0","4","0","541513","A","13","073"],
["0","13","0","541513","A","13","245"],
["0","3","0","541513","A","45","003"],
["0","1","0","541513","A","23","011"],
["0","5","0","541513","A","48","209"],
["0","42","0","541513","A","48","453"],
["5650","16","82","541513","A","48","491"],
["11116","15","249","541513","A","06","029"],
["61342","42","706","541513","A","24","003"],
["36611","39","476","541513","A","24","005"],
["0","7","0","541513","A","24","013"],
["0","12","0","541513","A","24","025"],
["72469","43","846","541513","A","24","027"],
["0","2","0","541513","A","24","035"],
["17969","16","232","541513","A","24","510"],
["0","2","0","541513","A","23","019"],
["0","3","0","541513","A","25","001"],
["0","2","0","541513","A","50","023"],
["0","1","0","541513","A","36","037"],
["0","1","0","541513","A","22","005"],
["0","12","0","541513","A","22","033"],
["0","1","0","541513","A","22","077"],
["0","1","0","541513","A","22","125"],
["0","1","0","541513","A","26","025"],
["0","1","0","541513","A","26","017"],
["0","1","0","541513","A","31","067"],
["0","3","0","541513","A","48","245"],
["0","1","0","541513","A","48","361"],
["0","1","0","541513","A","55","027"],
["0","1","0","541513","A","54","081"],
["0","1","0","541513","A","39","091"],
["0","5","0","541513","A","53","073"],
["0","5","0","541513","A","41","017"],
["0","3","0","541513","A","30","111"],
["0","1","0","541513","A","36","007"],
["0","2","0","541513","A","36","107"],
["1517","6","29","541513","A","01","073"],
["5311","11","73","541513","A","01","117"],
["0","2","0","541513","A","38","015"],
["0","1","0","541513","A","51","155"],
["0","1","0","541513","A","17","113"],
["0","4","0","541513","A","18","105"],
["0","1","0","541513","A","42","037"],
["0","6","0","541513","A","42","093"],
["0","18","0","541513","A","16","001"],
["0","2","0","541513","A","16","027"],
["0","1","0","541513","A","37","189"],
["10040","19","117","541513","A","25","021"],
["3416","7","40","541513","A","25","023"],
["2498","15","41","541513","A","25","025"],
["9379","22","135","541513","A","25","009"],
["302517","80","2776","541513","A","25","017"],
["0","11","0","541513","A","33","015"],
["0","3","0","541513","A","33","017"],
["0","25","0","541513","A","08","013"],
["0","2","0","541513","A","21","227"],
["0","2","0","541513","A","30","031"],
["0","1","0","541513","A","27","035"],
["0","1","0","541513","A","29","213"],
["0","18","0","541513","A","53","035"],
["22852","21","266","541513","A","09","001"],
["0","2","0","541513","A","48","061"],
["0","1","0","541513","A","13","025"],
["0","25","0","541513","A","36","029"],
["0","2","0","541513","A","36","063"],
["0","1","0","541513","A","16","067"],
["0","5","0","541513","A","50","007"],
["0","1","0","541513","A","30","093"],
["0","7","0","541513","A","24","037"],
["0","2","0","541513","A","24","019"],
["855","4","19","541513","A","39","151"],
["0","10","0","541513","A","12","071"],
["0","1","0","541513","A","29","031"],
["0","1","0","541513","A","17","077"],
["0","1","0","541513","A","56","025"],
["0","1","0","541513","A","49","021"],
["0","2","0","541513","A","19","113"],
["0","5","0","541513","A","42","055"],
["0","6","0","541513","A","17","019"],
["0","4","0","541513","A","54","039"],
["0","1","0","541513","A","17","029"],
["0","4","0","541513","A","45","015"],
["0","15","0","541513","A","45","019"],
["0","1","0","541513","A","45","035"],
["0","3","0","541513","A","37","025"],
["0","3","0","541513","A","37","071"],
["0","4","0","541513","A","37","097"],
["0","1","0","541513","A","37","109"],
["179319","32","1528","541513","A","37","119"],
["0","2","0","541513","A","37","159"],
["627","5","17","541513","A","37","179"],
["0","1","0","541513","A","45","057"],
["0","4","0","541513","A","45","091"],
["0","3","0","541513","A","51","003"],
["0","1","0","541513","A","51","079"],
["0","5","0","541513","A","47","065"],
