[["PAYANN","ESTAB","EMP","NAICS2002","OPTAX","state","county"],
["0","8","0","71","A","1","1"],
["15990","56","1064","71","A","1","3"],
["570","6","54","71","A","1","5"],
["0","3","0","71","A","1","7"],
["529","6","69","71","A","1","9"],
["518","3","23","71","A","1","11"],
["957","4","70","71","A","1","13"],
["3493","28","297","71","A","1","15"],
["436","5","35","71","A","1","17"],
["0","2","0","71","A","1","19"],
["436","6","40","71","A","1","21"],
["0","2","0","71","A","1","23"],
["91","3","6","71","A","1","25"],
["0","1","0","71","A","1","27"],
["0","1","0","71","A","1","29"],
["1542","11","140","71","A","1","31"],
["1144","19","71","71","A","1","33"],
["0","1","0","71","A","1","35"],
["0","2","0","71","A","1","37"],
["1029","9","32","71","A","1","39"],
["0","1","0","71","A","1","41"],
["0","8","0","71","A","1","43"],
["210","7","26","71","A","1","45"],
["912","7","78","71","A","1","47"],
["2800","15","100","71","A","1","49"],
["1925","17","173","71","A","1","51"],
["0","6","0","71","A","1","53"],
["3211","18","224","71","A","1","55"],
["71","3","6","71","A","1","57"],
["118","7","22","71","A","1","59"],
["0","2","0","71","A","1","61"],
["0","3","0","71","A","1","63"],
["0","1","0","71","A","1","65"],
["0","2","0","71","A","1","67"],
["4945","29","404","71","A","1","69"],
["0","10","0","71","A","1","71"],
["50650","168","3134","71","A","1","73"],
["52","4","2","71","A","1","75"],
["3264","20","232","71","A","1","77"],
["0","1","0","71","A","1","79"],
["0","21","0","71","A","1","81"],
["0","4","0","71","A","1","83"],
["0","1","0","71","A","1","85"],
["0","4","0","71","A","1","87"],
["0","97","0","71","A","1","89"],
["736","8","35","71","A","1","91"],
["0","3","0","71","A","1","93"],
["0","21","0","71","A","1","95"],
["20137","98","1600","71","A","1","97"],
["343","3","26","71","A","1","99"],
["19224","59","1278","71","A","1","101"],
["0","28","0","71","A","1","103"],
["126","4","12","71","A","1","107"],
["0","6","0","71","A","1","109"],
["0","3","0","71","A","1","111"],
["0","8","0","71","A","1","113"],
["0","12","0","71","A","1","115"],
["10776","48","625","71","A","1","117"],
["99","3","19","71","A","1","119"],
["0","19","0","71","A","1","121"],
["0","12","0","71","A","1","123"],
["0","44","0","71","A","1","125"],
["1594","12","100","71","A","1","127"],
["0","1","0","71","A","1","129"],
["348","3","22","71","A","1","133"],
["0","2","0","71","A","2","16"],
["28115","141","2172","71","A","2","20"],
["321","8","21","71","A","2","50"],
["0","1","0","71","A","2","60"],
["705","8","16","71","A","2","68"],
["127","3","17","71","A","2","70"],
["6268","63","477","71","A","2","90"],
["983","8","17","71","A","2","100"],
["3589","33","224","71","A","2","110"],
["3508","59","213","71","A","2","122"],
["1526","20","97","71","A","2","130"],
["596","11","35","71","A","2","150"],
["639","4","5","71","A","2","164"],
["3467","41","173","71","A","2","170"],
["324","8","39","71","A","2","180"],
["0","3","0","71","A","2","185"],
["0","1","0","71","A","2","188"],
["91","6","3","71","A","2","201"],
["1043","16","34","71","A","2","220"],
["382","7","14","71","A","2","232"],
["0","2","0","71","A","2","240"],
["773","22","42","71","A","2","261"],
["116","4","26","71","A","2","270"],
["140","7","22","71","A","2","280"],
["0","1","0","71","A","2","282"],
["19","3","1","71","A","2","290"],
["162","6","13","71","A","4","1"],
["0","40","0","71","A","4","3"],
["24641","97","1120","71","A","4","5"],
["0","16","0","71","A","4","7"],
["167","5","20","71","A","4","9"],
["0","2","0","71","A","4","11"],
["0","5","0","71","A","4","12"],
["0","887","0","71","A","4","13"],
["0","45","0","71","A","4","15"],
["0","23","0","71","A","4","17"],
["131789","258","6957","71","A","4","19"],
["0","34","0","71","A","4","21"],
["0","13","0","71","A","4","23"],
["0","58","0","71","A","4","25"],
["0","34","0","71","A","4","27"],
["572","11","60","71","A","5","1"],
["346","5","24","71","A","5","3"],
["1617","24","104","71","A","5","5"],
["6976","51","450","71","A","5","7"],
["0","10","0","71","A","5","9"],
["0","2","0","71","A","5","11"],
["3314","19","113","71","A","5","15"],
["173","7","17","71","A","5","17"],
["406","7","76","71","A","5","19"],
["88","3","7","71","A","5","21"],
["936","13","42","71","A","5","23"],
["520","3","37","71","A","5","27"],
["0","3","0","71","A","5","29"],
["4560","28","353","71","A","5","31"],
["0","11","0","71","A","5","33"],
["5565","16","352","71","A","5","35"],
["269","4","24","71","A","5","37"],
["0","2","0","71","A","5","39"],
["211","8","13","71","A","5","41"],
["144","4","27","71","A","5","43"],
["4107","32","318","71","A","5","45"],
["0","2","0","71","A","5","47"],
["0","1","0","71","A","5","49"],
["14137","55","1273","71","A","5","51"],
["0","4","0","71","A","5","53"],
["425","5","85","71","A","5","55"],
["514","8","31","71","A","5","57"],
["0","7","0","71","A","5","59"],
["159","3","11","71","A","5","61"],
["446","12","42","71","A","5","63"],
["208","4","12","71","A","5","65"],
["402","6","37","71","A","5","67"],
["0","18","0","71","A","5","69"],
["55","3","11","71","A","5","71"],
["0","1","0","71","A","5","73"],
["0","2","0","71","A","5","75"],
["0","1","0","71","A","5","77"],
["0","1","0","71","A","5","79"],
["242","3","21","71","A","5","81"],
["0","5","0","71","A","5","83"],
["987","11","59","71","A","5","85"],
["0","3","0","71","A","5","87"],
["1062","8","42","71","A","5","89"],
["2144","8","129","71","A","5","91"],
["651","8","49","71","A","5","93"],
["80","9","7","71","A","5","95"],
["0","4","0","71","A","5","97"],
["110","5","8","71","A","5","99"],
["0","2","0","71","A","5","101"],
["0","6","0","71","A","5","103"],
["431","9","19","71","A","5","107"],
["368","4","29","71","A","5","109"],
["161","3","17","71","A","5","111"],
["200","5","17","71","A","5","113"],
["1183","14","111","71","A","5","115"],
["0","1","0","71","A","5","117"],
["30238","123","2134","71","A","5","119"],
["274","4","21","71","A","5","121"],
["522","6","28","71","A","5","123"],
["0","18","0","71","A","5","125"],
["0","1","0","71","A","5","127"],
["0","4","0","71","A","5","129"],
["0","30","0","71","A","5","131"],
["125","5","21","71","A","5","133"],
["0","7","0","71","A","5","135"],
["99","3","8","71","A","5","137"],
["1436","14","80","71","A","5","139"],
["0","7","0","71","A","5","141"],
["9075","60","603","71","A","5","143"],
["0","18","0","71","A","5","145"],
["0","2","0","71","A","5","147"],
["0","5","0","71","A","5","149"],
["365615","389","8558","71","A","6","1"],
["0","4","0","71","A","6","3"],
["0","11","0","71","A","6","5"],
["27345","64","1629","71","A","6","7"],
["6526","20","406","71","A","6","9"],
["0","10","0","71","A","6","11"],
["106602","305","6786","71","A","6","13"],
["0","13","0","71","A","6","15"],
["49678","75","3002","71","A","6","17"],
["0","140","0","71","A","6","19"],
["0","7","0","71","A","6","21"],
["9346","55","633","71","A","6","23"],
["1155","9","103","71","A","6","25"],
["5201","21","268","71","A","6","27"],
["27895","120","2404","71","A","6","29"],
["0","26","0","71","A","6","31"],
["13951","24","810","71","A","6","33"],
["0","11","0","71","A","6","35"],
["5195906","9028","89734","71","A","6","37"],
["0","22","0","71","A","6","39"],
