[["PAYANN","ESTAB","EMP","NAICS2002","OPTAX","state","county"],
["0","29","0","541513","A","1","89"],
["0","6","0","541513","A","1","117"],
["175019","125","2558","541513","A","6","37"],
["39859","19","670","541513","A","6","67"],
["109728","79","1876","541513","A","6","73"],
["0","70","0","541513","A","6","85"],
["0","15","0","541513","A","8","13"],
["42116","21","645","541513","A","8","31"],
["0","18","0","541513","A","9","1"],
["0","22","0","541513","A","9","3"],
["0","10","0","541513","A","9","11"],
["0","28","0","541513","A","10","3"],
["121348","83","1940","541513","A","11","1"],
["18882","31","309","541513","A","12","11"],
["43388","25","633","541513","A","12","31"],
["0","29","0","541513","A","12","57"],
["0","16","0","541513","A","13","67"],
["183355","107","2823","541513","A","17","31"],
["36880","46","590","541513","A","17","43"],
["0","22","0","541513","A","17","163"],
["0","15","0","541513","A","20","91"],
["0","5","0","541513","A","21","67"],
["0","28","0","541513","A","24","3"],
["73782","20","1023","541513","A","24","27"],
["0","68","0","541513","A","24","31"],
["120399","55","1923","541513","A","24","33"],
["109015","67","1878","541513","A","25","17"],
["96404","42","1551","541513","A","26","125"],
["55597","25","1215","541513","A","26","163"],
["54144","42","1075","541513","A","27","53"],
["0","18","0","541513","A","29","189"],
["0","7","0","541513","A","34","1"],
["0","28","0","541513","A","34","5"],
["0","19","0","541513","A","34","13"],
["55347","62","864","541513","A","34","23"],
["0","38","0","541513","A","34","25"],
["0","31","0","541513","A","34","35"],
["39612","10","703","541513","A","36","1"],
["0","17","0","541513","A","36","55"],
["109329","90","1537","541513","A","36","61"],
["0","20","0","541513","A","37","63"],
["0","20","0","541513","A","37","119"],
["50206","28","1021","541513","A","39","49"],
["0","16","0","541513","A","39","61"],
["0","17","0","541513","A","40","109"],
["0","21","0","541513","A","42","29"],
["0","10","0","541513","A","45","79"],
["0","14","0","541513","A","47","37"],
["31288","24","634","541513","A","48","29"],
["24707","28","387","541513","A","48","85"],
["0","64","0","541513","A","48","113"],
["108259","91","1824","541513","A","48","201"],
["0","26","0","541513","A","48","439"],
["0","23","0","541513","A","48","453"],
["82296","55","1400","541513","A","51","13"],
["590206","139","8487","541513","A","51","59"],
["20833","15","393","541513","A","51","107"],
["0","6","0","541513","A","51","610"],
["0","8","0","541513","A","51","683"],
["31498","34","592","541513","A","53","33"],
["0","3","0","541513","A","55","9"]]
