[["PAYANN","ESTAB","EMP","NAICS2002","OPTAX","state","county"],
["0","11","0","541110","A","1","1"],
["0","68","0","541110","A","1","3"],
["1047","20","39","541110","A","1","5"],
["5338","68","224","541110","A","1","15"],
["955","12","40","541110","A","1","23"],
["1403","13","47","541110","A","1","25"],
["1268","27","79","541110","A","1","31"],
["2214","27","64","541110","A","1","33"],
["1910","25","90","541110","A","1","39"],
["0","30","0","541110","A","1","43"],
["0","17","0","541110","A","1","45"],
["0","22","0","541110","A","1","47"],
["2902","27","91","541110","A","1","49"],
["1352","19","52","541110","A","1","51"],
["6373","48","239","541110","A","1","55"],
["13997","84","320","541110","A","1","69"],
["1308","16","44","541110","A","1","71"],
["319730","588","5160","541110","A","1","73"],
["4736","54","163","541110","A","1","77"],
["0","41","0","541110","A","1","81"],
["0","18","0","541110","A","1","83"],
["0","12","0","541110","A","1","87"],
["0","162","0","541110","A","1","89"],
["834","10","34","541110","A","1","91"],
["3389","33","106","541110","A","1","95"],
["0","295","0","541110","A","1","97"],
["0","191","0","541110","A","1","101"],
["0","50","0","541110","A","1","103"],
["0","20","0","541110","A","1","113"],
["3100","19","70","541110","A","1","115"],
["14818","63","323","541110","A","1","117"],
["2099","30","87","541110","A","1","121"],
["3923","25","115","541110","A","1","123"],
["17497","102","554","541110","A","1","125"],
["0","36","0","541110","A","1","127"],
["97441","314","1528","541110","A","2","20"],
["0","46","0","541110","A","2","90"],
["0","25","0","541110","A","2","110"],
["2871","20","42","541110","A","2","122"],
["1402","18","42","541110","A","2","170"],
["0","33","0","541110","A","4","3"],
["7070","55","216","541110","A","4","5"],
["0","17","0","541110","A","4","7"],
["746854","1681","10932","541110","A","4","13"],
["0","38","0","541110","A","4","15"],
["1964","16","60","541110","A","4","17"],
["126366","525","2265","541110","A","4","19"],
["2615","22","84","541110","A","4","21"],
["1884","12","34","541110","A","4","23"],
["0","69","0","541110","A","4","25"],
["0","46","0","541110","A","4","27"],
["608","10","30","541110","A","5","3"],
["1619","18","57","541110","A","5","5"],
["15704","57","321","541110","A","5","7"],
["1555","13","44","541110","A","5","19"],
["0","49","0","541110","A","5","31"],
["0","17","0","541110","A","5","33"],
["0","20","0","541110","A","5","35"],
["1633","27","71","541110","A","5","45"],
["4067","61","141","541110","A","5","51"],
["853","23","37","541110","A","5","63"],
["0","11","0","541110","A","5","67"],
["0","32","0","541110","A","5","69"],
["0","17","0","541110","A","5","85"],
["878","12","40","541110","A","5","91"],
["0","14","0","541110","A","5","107"],
["0","30","0","541110","A","5","115"],
["132696","434","2416","541110","A","5","119"],
["981","15","33","541110","A","5","123"],
["2789","21","70","541110","A","5","125"],
["7718","79","279","541110","A","5","131"],
["3021","25","65","541110","A","5","139"],
["0","132","0","541110","A","5","143"],
["0","19","0","541110","A","5","145"],
